Description,Category
CENTRUM ADULT MULTIGUMMIES,OTC
IV-DAPTOMYCIN 600MG/50ML NS,IV DRUG
KERI MOISTURE RICH OIL,OTC
VISINE AC 0.05-0.25% OPTH.SOLN,OTC
"HUBER PLUS 22G X 1""""",IV SUPPLY
SYSTANE TOWELETTE,OTC
"LYUMJEV KWIKPEN U-100 OUTER, SUV 100UNIT/1ML INSUL",RX
LAMOTRIGINE ER 50MG TAB ER 24,RX
TRIAMTERENE-HCTZ 75 MG-50MG TABLET,RX
L-METHYLFOLATE FORTE MEDICAL FOOD 15-90.314 CAPSUL,RX
BANATROL PAK PLUS,OTC
DIGOXIN TAB 0.0625MG,RX
MOUNJARO INJ 2.5/0.5,RX
NYSTATIN POW 100000,RX
VITAMIN C WITH ROSE HIPS 500MG TAB CHEW,OTC
FLUPHENAZINE HCL 2.5MG TABLET,RX
VITAFUSION MVI WOMEN GUMMIES TAB CHEW,OTC
BUTALBITAL-ACETAMINOPHEN-CAFFE 12'S 50-325-40 CAPS,RX
AMMONIUM LACTATE 12% 12% LOTION,RX
ASPRUZYO SPRINKLE 500MG PACK ER GR,RX
CEFADROXIL 250MG/5ML SUSP RECON,RX
CELEBREX 200MG CAPSULE,RX
CORICIDIN HBP MAX FLU 10-325-2MG TABLET,OTC
GLYBURIDE 1.25MG TABLET,RX
JERGENS LOTION SHEA BUTTER LOTION,OTC
KERENDIA 10MG TABLET,RX
OSPHENA F/C 60MG TABLET,RX
PEDIALYTE VARIETY PACK 10.6-4.7 POWD PACK,OTC
PENTASA (MESALAMINE) CR 250MG CAPSULE,RX
RIBOFLAVIN (VIT B-2) 25MG TABLET,OTC
SILDENAFIL CITRATE 50MG TABLET,RX
TRIMETHOPRIM 100MG TABLET,RX
ROBAFEN DM 50-5MG/5ML LIQUID,OTC
IMIPENEM-CILASTATIN 0 MG/WATER FOR INJ. STERILE 26,IV DRUG
BUTALBITAL/ASA/CAFFEINE 50-325-40 CAPSULE,RX
FIBER POWDER 3GM/7GM POWDER,OTC
PINDOLOL 5MG TABLET,RX
CLONAZEPAM ODT (10X6) 0.125MG TAB RAPDIS,RX
ACITRETIN 25MG CAPSULE,RX
DULCOLAX 1200MG TABLET,OTC
EZALLOR SPRINKLE 20MG CAP SPRINK,RX
LUBRICANT EYE NIGHTTIME OINT,OTC
NUPLAZID 10MG TAB,RX
MILK OF MAG 2400MG/10ML CUP,OTC
AQUAPHOR LIP REPAIR OINTMENT 18 % GEL (GRAM),OTC
CEFPROZIL F/C 500MG TABLET,RX
"CHEST CONGESTION RELIEF DM CAPLET,D/F 400MG-20MG T",OTC
RENACIDIN 6.602G/100 IRRIG SOLN,RX
"SAFETUSSIN DM S/F, A/F 100-10MG/5 LIQUID",OTC
TUMS ULTRA ASSORTED BERRIES 400MG TAB CHEW,OTC
VYVANSE 30MG CAPSULE,RX
XTAMPZA ER 36MG,RX
ALBUTEROL SULFATE OUTER UD 0.63MG/3ML VIAL-NEB,RX
LACTULOSE OUTER UD 20GM/30ML SOLUTION,RX
LIDOCAINE 5 % ADH. PATCH,RX
OLMESARTAN-AMLODIPINE-HCTZ 40-10-12.5 TABLET,RX
VANCOMYCIN HCL 1 GM 260 MLS (SODIUM CHLORIDE 0.9%),IV DRUG
"MDV-heparin 5,000UNITS/ML-1ML",RX
DIABETIC TUSSIN 10-100MG/5ML,OTC
LIDOCAINE 1% (2ML SDV),RX
PER DIEM DR/CR,RX (PER DIEM)
MENTHOL COLD/HOT 5% PAD,OTC
CYANOCOBALAMIN 1000MCG/ML MDV,RX
DEMECLOCYCLINE HCL 300MG TABLET,RX
CARVEDILOL 12.5MG TABLET,RX
OXYCODONE HCL 10MG TABLET,RX
GENTEAL TEARS SEVERE 0.3 % GEL (GRAM),OTC
TPN SOLUTION/SODIUM ACETATE PHARMACY BULK 110 MEQ/,IV DRUG
TPN SOLUTION 1833 MLS (CLINISOL /DEXTROSE IN WATER,IV DRUG
TOLNAFTATE 1 % POWDER,OTC
SYMTUZA 800-150 MG TABLET,RX
CLOBAZAM 2.5MG/1ML ORAL SUSP,RX
EDARBYCLOR F/C 40 MG-25MG TABLET,RX
NICOTINE GUM MINT 4MG GUM,IV SUPPLY
IRBESARTAN-HCTZ 300-12.5MG TABLET,RX
BELBUCA OUTER 75MCG FILM,RX
FINASTERIDE F/C 1MG TABLET,RX
"SM VITAMIN C 1,000 MG TABLET",OTC
VIT D3 125 MCG (5000IU) CAP,OTC
ROBITUSSIN COUGH-CHEST DM CAP,OTC
CP MAGIC MOUTHWASH (LNA) 1:1:1,RX
NASAL SPRAY (OXYMETAZOLINE),OTC
ALBUTEROL SUL 2.5 MG/3 ML (90),RX
SM TUSSIN DM 200-20 MG/20 ML,OTC
PRENATAL VITAMIN PLUS LOW IRON,OTC
VITAMIN D3 400 UNITS/ML DROP,OTC
VITAMIN E 180 MG (400 IU) SFTG,OTC
"OMEGA-3 FISH OIL 1,000 MG SFGL",OTC
ADVAIR 250-50 DISKUS,RX
PROCHLORPERAZINE MALEATE 10MG TABLET,RX
INSULIN DEGLUDEC PEN (U-100) SUV 100UNIT/1ML INSUL,RX
SILODOSIN 8MG CAPSULE,RX
SCHOLLS BUNION CUSHIONS EACH,OTC
SODIUM CHLORIDE 5 % OINT. (G),OTC
BRIVIACT 10MG/1ML SOLUTION,RX
SYSTANE COMPLETE 0.6 % DROPS,OTC
NYSTATIN-TRIAMCINOLONE 100000-0.1 OINT. (G),RX
TIADYLT CAP 120MG/24,RX
REFRESH LIQU DRO 1% OP,OTC
VILAZODONE TAB 10MG,RX
INSULIN LISPRO MIX PEN 75/25,RX
LEVOBUNOLOL SOL 0.5% OP,RX
VITAMIN D3 CAP 50MCG,OTC
KERENDIA TAB 10MG,RX
NOSTRILLA SPR 0.05%,OTC
KLOR-CON PAK 20MEQ,RX
"NEXUS W/EXTENSION 6"" N6966",IV SUPPLY
AVEENO ANTI- LOT ITCH,OTC
ACARBOSE 50MG TABLET,RX
TIROSINT 100MCG CAPSULE,RX
JANTOVEN 5MG TABLET,RX
GLYCOPYRROLATE 1MG/5ML SOLUTION,RX
LAMIVUDINE 150MG TABLET,RX
GENTAMICIN IN NACL 80 MG 50 MLS,IV DRUG
TELMISARTAN 40MG TABLET,RX
IV TUBING 1.2 FILTR,IV SUPPLY
HUMALOG MIX 75-25 KWIKPEN 100UNIT/1ML INSULN PEN,RX
BUPROPION HCL SR (ZYBAN-STOP SMOKING) 150MG TAB ER,RX
CICLOPIROX 0.77 % GEL (GRAM),RX
MARAVIROC 300MG TABLET,RX
TPN SOLUTION/POTASSIUM CHLORIDE 10 MEQ/POTASSIUM P,IV DRUG
"CEFEPIME HCL SDV,OUTER,LATEX-FREE 3 GM 133.9 MLS (",IV DRUG
"DIABETIC TUSSIN MAX-STRENGTH A/F,D/F,NA/F,S/F 200-",OTC
FOSINOPRIL SODIUM 40MG TABLET,RX
TARSUM PRO SHA 2%,OTC
ARNUITY ELPT 100MCG (14 DAY),RX
ALBUTEROL 0.63MG/3ML 0.021%/ML,RX
ROFLUMILAST TAB 250MCG,RX
BISOPROL FUM TAB 10MG,RX
PIMECROLIMUS CRE 1%,RX
CALTRATE+D TAB 600-800,OTC
VITAMIN E CAP 180MG (400 UNIT),OTC
FENOFIBRATE CAP 150MG,RX
LIDOCAINE SOL 4%,RX
CLINDAMYCIN LOT 1%,RX
MINOXIDIL AER MEN 5%,OTC
LIDODERM DIS 5%,RX
CARB/LEVO TAB 10-100MG,RX
MEMANTINE HC CAP 7MG ER,RX
CHEST CONGES LIQ 100/5ML,OTC
PSEUDOEPHEDR TAB 120MG ER,OTC
DISULFIRAM 500MG TAB,RX
NIACIN 250MG CR TAB,OTC
ISOPTO TEARS 0.5% OPTH SO,OTC
OXYMETAZOLINE 0.05% NASAL SPRY,OTC
ICHTHAMMOL 20% OINTMENT,OTC
TOLTERODINE TARTRATE 1MG TABLET,RX
MEDERMA ADVANCED SCAR GEL (GRAM),OTC
ROBITUSSIN-CF MAX M-S COLD LIQ 200-10-5/5 LIQUID,OTC
RICOLA NATURAL LOZENGE,OTC
CIPRO F/C 500MG TABLET,RX
VITAMIN C 250MG TAB CHEW,OTC
RIZATRIPTAN OUTER UD 10MG TABLET,RX
"ZIOPTAN P/F,SINGLE USE 0.0015 % DROPERETTE",RX
LASIX 20MG TABLET,RX
IRBESARTAN F/C 150MG TABLET,RX
NYSTATIN 100000UNIT/1GM CREAM (G),RX
LEVOBUNOLOL HCL OPHTH 0.5% DROPS,RX
PROLENSA 0.07% OPHTH SOLN,RX
ICY HOT PATCH 5% (REGULAR),OTC
PROCHLORPERAZINE 25MG SUPP.,RX
IV-ACYCLOVIR500MG/100ML 0.9%NS,IV DRUG
LORATADINE 5MG/5ML SOLN,OTC
DEKAS PLUS LIQD - MTVI/MINERAL,OTC
DAPTOMYCIN 744MG/250ML NS,IV DRUG
METRONIDAZOLE 375MG CAPSULE,RX
VANCOMYCIN HCL 500MG VIAL,IV DRUG
PILOCARPINE HCL 1% DROPS,RX
LEUCOVORIN CALCIUM 5MG TABLET,RX
METHYLPREDNISOLONE 4 MG TAB,RX
ORENCIA CLICKJECT 125 MG/ML,RX
METHOTREXATE 50 MG/2 ML VIAL,RX
SEMGLEE (YFGN) 100 UNIT/ML PEN,RX
GVOKE HYPOPEN 1-PK 1 MG/0.2 ML,RX
LEVOTHYROXINE 88 MCG CAPSULE,RX
ZINC OXIDE PASTE,OTC
ENTRESTO 97 MG-103 MG TABLET,RX
AMLODIPINE-OLMESARTAN 5-20 MG,RX
DIFLUPREDNATE 0.05% EYE DROP,RX
TUSSIN DM 50-5MG/5ML SYRUP,OTC
MELATONIN 10 MG TABLET 10MG TABLET,OTC
LIDOCAINE OUTER 5% ADH. PATCH,RX
BROMFENAC SODIUM ONCE DAILY 0.09% DROPS,RX
METAMUCIL FIBER GUMMIES 2GM TAB CHEW,OTC
"INSULIN LISPRO JUNIOR KWIKPEN SUV, OUTER 100UNIT/1",RX
OZEMPIC PEN 2MG/0.75ML DOSE,RX
AZELASTINE OPTH SOLN 0.05%,RX
IV ceFAZolin 2GM/110ML NS,IV DRUG
diltiaZEM ER CAP 120MG (12HR),RX
PROBIOTIC 10 CAP,OTC
IV ceFAZolin 3GM/115ML NS,IV DRUG
METHOTREXATE SDV INJ 50MG/2ML,RX
CITALOPRAM CAP 30MG,RX
HYDROXYCHLOROQUINE TAB 400MG,RX
LISINOPRIL/HCTZ TAB 10/12.5MG,RX
OxyCONTIN CR TAB 40MG,RX
"CALCICARE AG DRS 4X4.75""",IV SUPPLY
VITAMIN D3 CAP 10000U (250MCG,OTC
ALPHAGAN P OPTH SOLN 0.1%,RX
DICLOFENAC POT TAB 50MG,RX
SELENIUM SULF SHAMPOO 2.25%,RX
VENLAFAXINE ER TAB 37.5MG,RX
BISOPROLOL/HCTZ TAB 10/6.25MG,RX
MYLANTA COAT & COOL SUSP,OTC
BOOSTRIX INJ,RX
ENGERIX-B SDV INJ 20MCG/ML,RX
MMR INJ W/DILUENT,RX
VARIVAX INJ (2 VIAL SYSTEM),RX
CLOTRIMAZOLE VAG CRM 1%,OTC
PENTOXIFYLLINE ER TAB 400MG,RX
ANTI-ITCH LOTN,OTC
ROCKLATAN OPTH SOLN,RX
fentaNYL PATCH 100MCG/HR,RX
IV DAPTOmycin 750MG/100ML NS-E,IV DRUG
NITRO-BID OINT 2%,RX
CAPZASIN HP CRM 0.1%,OTC
NICOTINE LOZ 2MG (MINT),IV SUPPLY
SOTROVIMAB INJ 500/8ML,IV DRUG
REPATHA PFS 140MG/ML,RX
LANTHANUM CHEW 1000MG,RX
RED YEAST RICE CAP 600MG,OTC
PRESERVISION AREDS 2+MV CAP,OTC
IV DAPTOmycin 600MG/100ML NS-E,IV DRUG
OZEMPIC PEN 1MG/0.75ML DOSE,RX
ONE-A-DAY MEN'S 50+ TAB,OTC
MEGARED KRILL OIL CAP 350MG,OTC
ORAJEL GEL 10%,OTC
"INSYTE AUTOG MIS 20GX1""",IV SUPPLY
PROAIR RESPI AER,RX
TETRABENAZINE 12.5MG TAB,RX
AYR 2.65% SPRAY,OTC
TEMOZOLOMIDE 140MG CAPSULE,RX
PHOSPHO-TRIN 500MG TAB,RX
"ERGOCALCIFEROL 8,000U/ML SOLN",OTC
guaiFENesinDM 100-10MG/5ML CUP,OTC
FLUTIC-SALMET 55-14MCG/ACT(60),RX
L-CARNITINE 250MG CAP,OTC
IV-TEFLARO 200 MG/100ML NS,IV DRUG
"GENTAMICIN SULFATE MDV,LATEX-FREE 400 MG 110 MLS (",IV DRUG
"F 10'S, SDV 2 GM 100 MLS (SODIUM CHLORID",IV DRUG
"CEFTAZIDIME 10'S, SDV 2 GM 100 MLS (SODIUM CHLORID",IV DRUG
ZIRGAN 0.15% GEL,RX
LIVALO F/C 4MG TABLET,RX
VILAZODONE HCL 10MG TABLET,RX
PFIZER,COVID
SENNA PLUS TABLET (GNP),OTC
LACTOBACILLUS ACIDOPHILUS CAPS,OTC
SAFE TUSSIN DM LIQ 10-100/5ML,OTC
CRANBERRY CAP 400MG,OTC
LISTERINE LIQ ZERO,OTC
CEFEPIME 2GM/50ML NS,IV DRUG
PETROLATUM OIN,OTC
OMEPRA/BICAR CAP 20-1100,OTC
ALPHA-LIPOIC ACID 300MG TABS,OTC
OXYCONTIN 10MG TABLET,RX
BUPROPION ER (SR) 150MG TABLET,RX
HumuLIN N-100UNIT/ML INJ,OTC
DILTIAZEM CD 300MG CAPS,RX
clonazePAM ODT 0.25MG,RX
PIPER/TAZO 2.25GM/100ML NS,IV DRUG
DAPTOMYCIN 387MG/100ML NS,IV DRUG
IV-TEFLARO 600MG/250ML 0.9%NS,IV DRUG
STERILE CAP,IV SUPPLY
CALCIUM/VIT D3 500MG/600IU TAB,OTC
MELATONIN TR/PYRIDO 5-10MG TAB,OTC
ANORO ELLIPT 62.5-25MCG (30),RX
ALBUTEROL 0.083% NEB SOLN-3ML,RX
IV-REMDESIVIR100MG/100ML 0.9NS,IV DRUG
IV-DAPTO 900MG/100ML 0.9%NS,IV DRUG
"DUODERM SIGNAL 4""X4""",IV SUPPLY
OPTICHAMBER DIAMOND-SMALL,SUPPLY-NON IV
IV-REMDESIVIR200MG/250ML 0.9NS,IV DRUG
SPIRIVA HANDIHAL 18MCG CAP (5),RX
GALANTAMINE ER 8MG CAP,RX
FLOVENT DISKUS 100MCG AER (60),RX
DEXTROMETH POL 30MG/5ML SUSP,OTC
ALCON TEARS 0.5% OPHTH SOLN,OTC
DAILY FIBER PSYLLIUM CAP,OTC
CALCIUM 600MG/VIT.D 400IU CAP,OTC
COLLAGEN HYDROLYSATE POWDER,OTC
IV-DAPTO 940MG/100ML 0.9%NS,IV DRUG
XYLOCAINE MPF 1% INJ.-30ML,RX
LUVENA MOIST GEL LUBRICAN,OTC
BIOTENE DRYMOUTH 0.15% PASTE,OTC
MAGNESIUM OXIDE 400MG CAP,OTC
BIOFREEZE 10.5% AEROSOL,OTC
"AQUACEL EXTRA 4"""" X 5"""" BANDAGE",IV SUPPLY
PEDIATRIC D-VITE 10MCG/1ML DROPS,OTC
CHLORASEPTIC SORE THROAT CITRUS 6 MG-10 MG LOZENGE,OTC
CHLORASEPTIC MAX WILD BERRIES 15 MG-10MG LOZENGE,OTC
"DAPTOMYCIN SUV, P/F, LATEX-FREE 420 MG 108.4 MLS (",IV DRUG
GENTAMICIN SULFATE 3MG/1ML OPHTHAL 0.3% DROPS,RX
"RENVELA OUTER,90 X 0.8G PKTS 0.8GM POWD PACK",RX
GLYXAMBI F/C 25 MG-5 MG TABLET,RX
PERPHENAZINE F/C 16MG TABLET,RX
VILAZODONE HCL 20MG TABLET,RX
"CODEINE-GUAIFENESIN A/F,D/F,S/F 10-100MG/5 LIQUID",OTC
PREGABALIN 20MG/1ML SOLUTION,RX
LACTAID FAST ACT 9000UNIT CAPLET,OTC
XELJANZ XR 11MG TAB ER 24H,RX
AMLODIPINE-VALSARTAN F/C 5MG-320MG TABLET,RX
INSULIN DEGLUDEC MUV 100UNIT/1ML VIAL,RX
"ACETYLCYSTEINE W/DROPPER, P/F 200MG/1ML VIAL",RX
OLMESARTAN MEDOXOMIL 40MG TABLET,RX
NYSTATIN 100MU/G CREAM,RX
TRETINOIN 0.1 % CREAM (G),RX
RIZATRIPTAN OUTER UD 5MG TABLET,RX
DIGESTIVE ADVANTAGE CAPSULE,OTC
CARVEDILOL ER 80MG CPMP 24HR,RX
ALOE VESTA CLEANSING FOAM,OTC
LORATA-DINE D NON-DROWSY 10MG-240MG TAB ER 24H,OTC
FLUTICASONE PROPIONATE HFA 220MCG AER W/ADAP,RX
HUMULIN R U-500 KWIKPEN OUTER 500UNIT/1ML INSULN P,OTC
COENZYME Q10 100MG CAPSULE,OTC
"VANCOMYCIN HCL OUTER, SINGLE-USE 1 GM 200 MLS",IV DRUG
BROMPHENIRAMINE-PSEUDOEPHED-DM 10-30-2/5 SYRUP,RX
LAXATIVE 5MG TABLET DR,OTC
"CHLORASEPTIC A/F, S/F, ASA-FREE 1.4 % SPRAY",OTC
MAGIC MW (LIDOCAIN/NYSTATIN/GERILANTA) SUSPENSION,RX
IV C-FLO SEC MED W/CLRLNK VLV EACH,IV SUPPLY
MECLIZINE HCL 25MG TABLET,RX
IRBESARTAN 150MG TABLET,RX
MURO-128 TWIN PACK 5 % OINT. (G),OTC
ZONISAMIDE 25MG CAPSULE,RX
"PROLIA CONTAINS LATEX,P/F 60MG/1ML DISP SYRIN",RX
"MUCINEX MAX STR, BI-LAYER 1200MG TAB ER 12H",OTC
TPN SOLUTION/SODIUM ACETATE PHARMACY BULK 40 MEQ/S,IV DRUG
PROPRANOLOL HCL 20MG/5ML SOLUTION,RX
PHENobarbital TAB 64.8MG,RX
PHENYTOIN EXT CAP 100MG,RX
AIMOVIG INJ 70MG/ML,RX
PROLIA INJ 60MG/ML,RX
PRENATAL VIT+LOW IRON TAB,OTC
DABIGATRAN CAP 150MG,RX
IMIPRAMINE TAB 50MG,RX
LANSOPRAZOLE CAP 30MG,RX
ONE-A-DAY ADULT GUMMY,OTC
VITAMIN B-12 CHEW 2500MCG,OTC
VITAMIN D3 GUMMY 1000U (25MCG,OTC
IV REMDESIVIR 100MG/100ML,IV DRUG
IV REMDESIVIR 200MG/100ML,IV DRUG
FLOVENT DISKUS 250MCG,RX
VITAMIN B COMPLEX W/B-12 TAB,OTC
VASHE WOUND THERAPY,OTC
IV SOD CHLORIDE 0.9% (500ML),IV DRUG
BENEFIBER CHEW,OTC
FLOVENT DISKUS 100MCG,RX
GUAIASORB S/F DM LIQ,OTC
KLOR-CON PWD PACKET 20MEQ,RX
KEY FOR LOCK BOX,SUPPLY-NON IV
diphenhydrAMINE INJ 50MG/ML,RX
EPINEPHrine SNAP-V KIT 1MG/ML,RX
SPS SUSP 15GM/60ML,RX
IV CEFEPIME 500MG/50ML NS-E,IV DRUG
NUCYNTA TAB 75MG,RX
BISOPROLOL TAB 10MG,RX
TURMERIC COMPLEX CAP 500MG,OTC
FLUTICASONE/SALM INH 113/14MCG,RX
PREVIDENT 5000 ENAMEL PASTE,RX
BUT/APAP/CAF CAP 50/300/40MG,RX
HYDROCORTISONE CRM 1% (RECTAL),RX
OMEGA XL GEL CAP,OTC
BUDESONIDE DR CAP 3MG,RX
TRUEPLUS GLUCOSE CHEW 4GM (OR),OTC
VITAMIN B-12 SL TAB 1000MCG,OTC
VIMPAT SOLN 10MG/ML,RX
METHYLPHENIDATE TAB 5MG,RX
METHYLPHENIDATE TAB 10MG,RX
SYSTANE NIGHTTIME OPTH OINT,OTC
VITAMIN D3 LIQ 1000U/10ML,OTC
VITAMIN A CAP 10000U (3000MCG,OTC
POT CITRA ER TAB 1080MG,RX
ZINC GLUCON TAB 100MG,OTC
PRED MILD SUS 0.12% OP,RX
BETA DIPROP CRE 0.05%,RX
SENSI-CARE BODY CREAM 1 %-30 % CREAM (G),OTC
DIALYVITE 3000 3MG-15MG TABLET,RX
DRONABINOL 10MG CAPSULE,RX
TPN SOLUTION 1050 MLS (CLINISOL /DEXTROSE IN WATER,IV DRUG
TPN SOLUTION 1820 MLS (CLINISOL /DEXTROSE IN WATER,IV DRUG
"DAPTOMYCIN SUV, P/F, LATEX-FREE 750 MG 115 MLS (SO",IV DRUG
NORTRIPTYLINE 75MG CAPSULE,RX
"VICKS DAYQUIL COLD-FLU, A/F 5-325MG/15 LIQUID",OTC
SODIUM SULFACETAMIDE-SULFUR 9.8%-4.8% LOTION,RX
CLINDAMYCIN-BENZOYL PEROXIDE 1 %-5 % GEL (GRAM),RX
"SAXENDA SDV,LATEX-FREE 3MG/0.5ML PEN INJCTR",RX
"DAPTOMYCIN SUV, P/F 650 MG 113 MLS (SODIUM CHLORID",IV DRUG
"DAPTOMYCIN P/F, SUV 650 MG 113 MLS (SODIUM CHLORID",IV DRUG
ATOMOXETINE HCL 40MG CAPSULE,RX
DESVENLAFAXINE SUCCINATE ER 25MG TAB ER 24H,RX
REMEDY SKIN REPAIR 5 % CREAM(ML),OTC
CARBAMAZEPINE ER 200MG TAB ER 12H,RX
NIVESTYM 300MCG/0.5ML SYRINGE,RX
ZINC SULFATE 220MG TAB (50MG),OTC
CHILDREN'S LORATADINE 5MG TAB CHEW,OTC
INSULIN DEGLUDEC PEN (U-200) SUV 200UNIT/1ML INSUL,RX
"CYANOCOBALAMIN INJECTION OUTER, MUV 1000MCG/1ML VI",RX
VITAMIN K 1MG/0.5ML AMPUL,RX
PROGRAF UD 1MG GRAN PACK,RX
EXTAVIA 0.3MG SYRINGEKIT,RX
ELMIRON 100MG CAPSULE,RX
THALITONE 15MG TABLET,RX
DML FORTE W/PANTHENOL CREAM (G),OTC
PAIN RELIEVING CREAM 15 %-1 % CREAM (G),OTC
ALCON TEARS 0.5% EYE DROPS 0.5 % DROPS,OTC
"TPN SOLUTION/SODIUM PHOSPHATE P/F, SDV, LATEX-FREE",IV DRUG
CRANBERRY PLUS VITAMIN C 4200-20MG CAPSULE,OTC
METAFOLBIC PLUS RF 6-600-2 MG TABLET,RX
ALUMINUM HYDROXIDE SUGAR-FREE 320MG/5ML ORAL SUSP,OTC
SYNTHROID 75MCG TABLET,RX
IV-ACYCLOVIR 730MG/250ML NS,IV DRUG
IV-ACYCLOVIR 850MG/250ML NS,IV DRUG
XTANDI 80MG TABS,RX
IV-ACYCLO 750MG/100ML NS0.9%,IV DRUG
IV-ACYCLO 750MG/250ML NS0.9%,IV DRUG
INFANTS' SIMETHICONE 40MG/0.6ML DROPS SUSP,OTC
CHROMIUM PIC TAB 200MCG,OTC
RYBELSUS TAB 14MG,RX
MOMETASONE OIN 0.1%,RX
OSELTAMIVIR SUS 6MG/ML,RX
BELSOMRA TAB 10MG,RX
ICY HOT VANISH SCENT-2.5% GEL,OTC
REXULTI TAB 0.5MG,RX
L-METHYLFOLA TAB 7.5MG,OTC
ZAFIRLUKAST TAB 10MG,RX
ACETAMIN TAB 650MG,OTC
ETHYL CHLOR AER MED STRM,RX
ATENOL/CHLOR TAB 100-25MG,RX
NAMZARIC 21MG-10MG CAP,RX
ASMANEX HFA AER 50MCG,RX
NEURONTIN CAP 300MG,RX
ISOSO/HYDRAL TAB 20-37.5,RX
PREVALITE POW 4GM PK,RX
TRELEGY 200-62.5-25 (30INH),RX
ACYCLOVIR CRE 5%,RX
CHOLESTYRAMINE LIGHT 4GM POWDER,RX
PREPARATION H COOLING 0.25%-50% GEL,OTC
BENEFIBER SUGAR FREE POWDER 3GM/3.8GM POWDER,OTC
CHLORPHENIRAMINE 4MG TABLET,RX
"SOYA LECITHIN 1,200 MG SOFTGEL 1200MG CAPSULE",OTC
ALIVE WOMEN'S 50+ TABLET,OTC
VORICONAZOLE 50MG TABLET,RX
TRIAMCINOLONE ACETONIDE 0.1 % OINT. (G),RX
BELBUCA OUTER 600MCG FILM,RX
DESONIDE 0.05% OINTMENT,RX
BETAXOLOL OPH 0.5% DROPS,RX
CABERGOLINE 0.5MG TABLET,RX
ASMANEX 220MCG AER POW BA,RX
FLUTICAS HFA AER 44MCG,RX
TIADYLT CAP 240MG/24,RX
RETAINE MGD EMU 0.5-0.5%,OTC
PREPARATION SUP H,OTC
CHLORPROMAZ TAB 200MG,RX
RISPERIDONE TAB 4MG ODT,RX
ARTHRTS PAIN TAB 650MG,OTC
PERPHENAZINE TAB 2MG,RX
NASACORT ALlRGY 24HR-55MCG OTC,OTC
ORPHENADRINE TAB 100MG ER,RX
IV-DAPTOMYCIN450MG/100ML NS,IV DRUG
IV-ACYCLOVIR 500MG/100ML NS,IV DRUG
VASHE WOUND THERAPY SOLN-475ML,OTC
TAMIFLU SUS 6MG/ML,RX
PANCREAZE CAP 21000UNT,RX
HYDROCORT AC SUP 30MG,RX
SOOTHE LUBRICANT EYE DROPS,OTC
BISMUTH CHW 262MG,OTC
SM ARTHRTS P TAB 650MG,OTC
CEFEPIME 1GM/50ML NS,IV DRUG
RYBELSUS TAB 3MG,RX
DAPTOMYCIN 1650MG/250ML,IV DRUG
REPATHA SURE INJ 140MG/ML,RX
IVLINE KIT,IV SUPPLY
XOFLUZA 80MG TAB,RX
XOFLUZA 40MG TAB,RX
CLARITIN REDITAB 10MG ODT,OTC
RENAL CAPS SOFTGELS,OTC
traZODone HCL 50MG TAB,RX
STERILE WATER INJ (20ML),IV DRUG
STERILE WATER FOR INJ-10ML,IV DRUG
VERAPAMIL ER 240MG TAB,RX
VITAMIN D3 3000 UNIT TAB,OTC
VITAMIN E 180MG (400IU) CAP,OTC
VITAMIN B-12 1000MCG CR TAB,OTC
"VITAMIN B-12 1,000MCG CR TAB",OTC
"VITAMIN D3 1,000 UNIT CAP",OTC
INSULIN DEGLUDEC 100U/ML PEN,RX
ZOLOFT 50MG TAB,RX
IV-MEROPENEM 500MG/50ML 0.9%NS,IV DRUG
AMMONIUM LACT 12% CRM (140GM),RX
SUPER B ENERGY COMPLEX SFG CAP,OTC
BLACK COHOSH 540MG CAP,OTC
VENLAFAXINE ER 75MG TAB,RX
CLINDAMYCIN 2% VAGINAL CREAM,RX
NAMENDA 10MG TAB,RX
VIRT-CAPS CAPSULES,RX
AMIKACIN     INJ 500/2ML,IV DRUG
AQUAPHOR     OIN ITCH RLF,OTC
ASPERFLEX    PAD 4%,OTC
BENADRYL ALG TAB 25MG,OTC
BLISTEX      OIN MEDICATE,OTC
CALCIUM      TAB 500MG,OTC
CALCIUM CARB CHW 500MG,OTC
CALCIUM/D3   TAB 600-5,OTC
CAPSAICIN    CRE 0.1%,OTC
CEPACOL      LOZ EXTRA ST,OTC
CEPACOL SORE LOZ 15-3.6MG,OTC
CLORPACTIN   POW WCS-90,OTC
DOCUSATE SOD LIQ 50MG/5ML,OTC
DOK          TAB 100MG,OTC
ENEMA        ENE,OTC
ENEMA READY- ENE -TO-USE,OTC
FLONASE ALGY SPR 50MCG,OTC
GLUCOSE      GEL 40%,OTC
GNP MUCUS ER TAB 600MG,OTC
GUAIASORB DM 10-100MG/5ML LIQD,OTC
GUAIFENESIN  LIQ 100/5ML,OTC
IV PUMP,IV SUPPLY
LIDOCAINE    PAD 4%,OTC
MEDI-PADS    PAD 50%,OTC
METAMUCIL    POW 58.12%,OTC
METHYLPHENID TAB 54MG ER,RX
MINTOX       SUS MAX ST,OTC
MIRALAX      POW 3350 NF,OTC
NICOTINE     DIS 14MG/24H,IV SUPPLY
OMEGA 3      CAP 1000MG,OTC
Patient Per Diem Days,RX (PER DIEM)
PEG 3350     POW,OTC
PREPARATION-H CREAM,OTC
PRESERVISION CHW AREDS 2,OTC
PROCRIT      INJ 10000/ML,RX
PROTEINEX    LIQ,OTC
REFRESH PLUS DRO 0.5% OP,OTC
SENNA        SYP 8.8/5ML,OTC
